供应商ID,材料分类,有效周数,供货量均值,CV,平均满足率,OFV,OFR,缺货周数,SRI,CA,PCI,综合得分
S001,B,91,0.5384615384615384,205.8883743093256,0.0,0.0,16.883116883116884,72,65.76280861995147,10.416666666666668,0.8184615384615385,0.4047089969755782
S002,A,95,2.873684210526316,265.4180857899278,1.2020833333333334,0.6183976670421506,69.25566343042071,31,10.032362459546926,29.583333333333332,4.799052631578947,0.5549530592044444
S003,C,199,66.02010050251256,120.03777760555036,1.0570764059280657,0.23380540082259144,88.05238462077176,26,1.5609949741705236,79.58333333333333,91.76793969849246,0.688876062817862
S004,B,103,0.6213592233009708,197.90001703703774,0.0033333333333333335,0.008164965809277261,7.5736325385694245,82,73.58215661977967,13.750000000000002,0.9444660194174757,0.38468127375314065
S005,A,114,60.63157894736842,47.6113148425728,1.0968928186161195,0.13080857926909242,99.1893545426736,9,0.06399832557839996,44.583333333333336,101.25473684210526,0.6760044392199459
S006,C,55,0.5454545454545454,211.15983843111627,0.0,0.0,4.761904761904762,44,76.19047619047619,5.416666666666667,0.7581818181818181,0.37246509608486905
S007,A,240,28.95,102.40361112035781,1.291561080143013,0.39285486089141314,88.80285884455033,30,1.399642644431209,100.0,48.3465,0.6896540645449842
S008,C,56,0.7321428571428571,277.4716849273121,0.43333333333333335,0.7505553499465135,36.17021276595745,42,47.87234042553192,6.25,1.0176785714285712,0.37976267896061233
S009,B,80,0.3875,226.7436654914264,0.0,0.0,4.055944055944056,68,81.55244755244755,7.916666666666666,0.5890000000000001,0.36454853997589404
S010,B,88,1.9318181818181819,252.96133385095968,0.6038461538461538,0.6070631277104886,26.38888888888889,67,56.04482323232324,13.333333333333334,2.9363636363636365,0.3670178876411519
S011,C,43,1.9767441860465116,127.06582613756441,1.1,0.0,82.14285714285714,15,6.229235880398671,13.333333333333334,2.747674418604651,0.6105744569497116
S012,A,68,0.4264705882352941,266.6327969924878,0.0,0.0,7.142857142857142,58,79.2016806722689,5.0,0.7122058823529411,0.3631383236483929
S013,C,29,1.5172413793103448,128.98746312509394,0.0,0.0,77.27272727272727,10,7.836990595611286,8.333333333333332,2.108965517241379,0.5967101790572423
S014,A,27,1.037037037037037,108.57558551903199,0.0,0.0,65.625,11,14.004629629629628,6.666666666666667,1.7318518518518518,0.5728475950378833
S015,A,54,0.5185185185185185,197.32032326409214,0.0,0.0,0.07531470788652585,39,72.16782826652639,6.25,0.8659259259259259,0.375716473713713
S016,A,22,1.6818181818181819,110.68674977557565,0.0,0.0,84.21052631578947,6,4.30622009569378,7.083333333333333,2.8086363636363636,0.6086592461348768
S017,A,67,2.0597014925373136,245.22457839631323,0.9249999999999999,0.7481644204317658,56.70103092783505,46,29.72765040775504,10.416666666666668,3.4397014925373135,0.4681005794283666
S018,B,72,0.9166666666666666,162.4799084129384,0.0,0.0,46.017699115044245,47,35.23844641101278,12.916666666666668,1.3933333333333333,0.5099411274667569
S019,B,58,1.8793103448275863,416.2573988533465,0.5866666666666667,0.7469047239552491,32.12996389891697,49,57.338478775052906,5.0,2.856551724137931,0.324763910732166
S020,C,89,0.8089887640449438,183.41725007823726,0.0,0.0,34.97267759562842,68,49.68379689322772,13.750000000000002,1.1244943820224718,0.4641973219002891
S021,A,62,1.2903225806451613,101.56964823520337,0.0,0.0,19.1358024691358,23,29.998008761449626,17.5,2.1548387096774193,0.48640026303785155
S022,A,66,2.121212121212121,323.72527453876125,0.8391666666666666,0.7867266926251384,36.30573248407643,53,51.14842694460528,6.666666666666667,3.542424242424242,0.36162773330717857
S023,C,160,10.19375,217.86863167938654,0.5953594486592474,0.5227969236449052,19.95713903027056,62,31.01660862577016,55.41666666666667,14.169312499999998,0.4666991509202596
