week,inventory库存量 (立方米),inventory_ratio库存/安全库存,production实际产量 (立方米),production_ratio产能利用率,cost订购成本 (元),loss_rate 损耗率,received接收量 (立方米),transport运输量 (立方米),A类原材料接收量 (立方米),B类原材料接收量 (立方米),C类原材料接收量 (立方米)
1,183302.3149,3.250041044,28200,1,20433.3213,0.00448875,145124.6982,145779.064,31394.44278,113292.2305,438.02495
2,310879.8007,5.512053203,28200,1,20441.0287,0.0047635,145902.6024,146600.936,24228.03736,120010.5297,1664.035428
3,439190.4309,7.787064377,28200,1,20446.3237,0.00320925,146708.1969,147180.536,19265.97162,124842.595,2599.630276
4,567381.384,10.05995362,28200,1,20430.29,0.00757425,146663.8531,147783.2,22555.85245,110293.4342,13814.56644
5,694400.354,12.31206301,28200,1,20443.21,0.007957375,145331.07,146496.8,23801.08666,121529.9834,0
6,821671.3911,14.56864169,28200,1,20426.245,0.0116515,145697.9871,147415.6,25878.91712,106322.1829,13496.88712
7,957250.4325,16.9725254,28200,1,20325.955,0.004647375,155050.8959,155774.84,24390.12072,19230.21272,111430.5625
8,1084480.699,19.22838118,28200,1,20416.6363,0.005181875,145514.2994,146272.264,35558.77906,98606.63518,11348.88517
9,1211068.547,21.47284658,28200,1,20421.8963,0.0130435,144945.4817,146861.064,30295.61672,102395.8131,12254.0519
10,1337127.672,23.70793744,28200,1,20410.34663,0.014651875,144374.2581,146521.0664,36473.6462,92213.86971,15686.74215
11,1462948.069,25.93879556,28200,1,20433.78,0.01169325,144038.1977,145742.4,31167.24167,112870.956,0
12,1588187.512,28.15935304,28200,1,20438.1613,0.022046125,143593.2256,146830.264,23807.30913,115459.4486,4326.467943
13,1721346.002,30.52031919,28200,1,20367.8455,0.007284875,152340.8361,153458.764,19187.19794,55774.70658,77378.93157
14,1856237.59,32.91201401,28200,1,20329.136,0.009619625,154376.0243,155875.488,22509.36516,21907.2139,109959.4452
15,1982575.491,35.15204772,28200,1,20441.3937,0.013461125,144668.1679,146642.136,23669.04069,119278.6034,1720.523798
16,2116259.999,37.52234041,28200,1,20331.473,0.01250475,153059.1805,154997.384,25856.57563,23873.68516,103328.9197
17,2249111.618,39.87786556,28200,1,20325.955,0.022156125,152323.4732,155774.84,23961.08631,18891.94367,109470.4432
18,2375858.437,42.12514959,28200,1,20411.5363,0.01089725,145081.8525,146680.264,35354.4887,93601.03256,16126.33124
19,2509577.321,44.49605179,28200,1,20327.409,0.009057625,153021.3929,154420.072,30417.96714,20413.41293,102190.0128
20,2636831.166,46.75232563,28200,1,20410.1213,0.006604625,145571.2284,146539.064,36771.5232,92770.27746,16029.42777
21,2763502.749,48.99827569,28200,1,20433.3213,0.0060715,144893.9664,145779.064,31344.52918,113112.1087,437.32854
22,2890673.031,51.25306793,28200,1,20442.77,0.006715875,145477.9822,146461.6,24180.50874,121297.4735,0
23,3019540.239,53.53794751,28200,1,20433.24,0.00561025,147395.6084,148227.2,19219.56509,113093.1395,15082.90373
24,3155204.58,55.94334362,28200,1,20329.136,0.004662125,155148.777,155875.488,22622.03922,22016.8738,110509.864
