supplier_ID,material,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018,W019,W020,W021,W022,W023,W024
S143,A,13.0,638.0,38.0,428.0,252.0,557.0,33.0,592.0,40.0,370.0,13.0,638.0,38.0,428.0,252.0,557.0,33.0,592.0,40.0,370.0,13.0,638.0,38.0,428.0
S229,A,2006.0,1138.0,993.0,1027.0,1155.0,1175.0,1299.0,1786.0,1781.0,1570.0,2006.0,1138.0,993.0,1027.0,1155.0,1175.0,1299.0,1786.0,1781.0,1570.0,2006.0,1138.0,993.0,1027.0
S275,A,395.0,525.0,577.0,546.0,643.0,651.0,487.0,618.0,697.0,583.0,395.0,525.0,577.0,546.0,643.0,651.0,487.0,618.0,697.0,583.0,395.0,525.0,577.0,546.0
S282,A,2.0,162.0,116.0,108.0,139.0,237.0,367.0,470.0,478.0,523.0,2.0,162.0,116.0,108.0,139.0,237.0,367.0,470.0,478.0,523.0,2.0,162.0,116.0,108.0
S329,A,495.0,494.0,612.0,573.0,681.0,486.0,628.0,720.0,606.0,651.0,495.0,494.0,612.0,573.0,681.0,486.0,628.0,720.0,606.0,651.0,495.0,494.0,612.0,573.0
S352,A,86.0,86.0,80.0,159.0,129.0,167.0,249.0,282.0,235.0,259.0,86.0,86.0,80.0,159.0,129.0,167.0,249.0,282.0,235.0,259.0,86.0,86.0,80.0,159.0
S395,A,945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,945.0,0.0,0.0,0.0
S108,B,556.0,14464.117,832.0,636.0,0.0,707.0,615.0,636.0,736.0,9914.1333,0.0,13022.783,0.0,636.0,0.0,707.0,615.0,0.0,736.0,730.0,0.0,13869.7,832.0,636.0
S131,B,2.0,0.0,657.0,628.0,0.0,663.0,426.0,10575.033,699.0,751.0,0.0,539.0,0.0,628.0,0.0,663.0,426.0,0.0,699.0,0.0,2.0,539.0,657.0,628.0
S139,B,13657.383,0.0,13201.567,0.0,0.0,16.0,10.0,11.0,25.0,0.0,14275.8,0.0,7023.0,0.0,0.0,0.0,10.0,11.0,25.0,10.0,14223.383,0.0,11010.4,0.0
S140,B,10.0,0.0,0.0,0.0,15313.1,4.0,1.0,11.0,10399.633,0.0,0.0,0.0,0.0,0.0,14674.267,4.0,1.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0
S308,B,0.0,0.0,0.0,298.0,0.0,10879.95,375.0,699.0,798.0,613.0,0.0,340.0,0.0,298.0,439.0,471.0,375.0,10590.033,798.0,0.0,0.0,0.0,752.0,298.0
S330,B,0.0,0.0,231.0,442.0,0.0,445.0,404.0,458.0,311.0,420.0,0.0,247.0,0.0,442.0,0.0,445.0,404.0,458.0,311.0,10185.383,0.0,247.0,231.0,442.0
S340,B,0.0,609.0,734.0,11887.9,0.0,732.0,584.0,0.0,0.0,0.0,0.0,609.0,0.0,761.0,0.0,732.0,584.0,759.0,0.0,748.0,0.0,609.0,734.0,761.0
S151,C,0.0,0.0,0.0,610.0,0.0,663.0,628.0,0.0,720.0,0.0,0.0,553.0,9417.3455,610.0,0.0,663.0,628.0,612.0,720.0,617.0,0.0,0.0,643.0,12748.436
S356,C,55.0,209.0,326.0,217.0,0.0,206.0,380.0,540.0,0.0,590.0,0.0,0.0,326.0,12355.436,218.0,206.0,380.0,540.0,652.0,0.0,55.0,0.0,0.0,217.0
S361,C,0.0,0.0,0.0,913.0,0.0,838.0,12985.855,886.0,832.0,1400.0,0.0,0.0,0.0,913.0,0.0,12210.673,12985.855,886.0,11518.509,1400.0,0.0,0.0,1253.0,913.0
