week,inventory
0,56400.0
1,89116.17636363638
2,87320.80636363638
3,89578.27090909093
4,81795.07863636367
5,104429.59409090912
6,98101.12272727274
7,91758.04045454547
8,82565.07363636365
9,80632.92681818183
10,76380.85272727275
11,96831.23772727276
12,98159.15000000004
13,92433.95772727276
14,94860.33863636368
15,92685.46363636368
16,88049.98681818186
17,89494.89772727276
18,82145.86772727277
19,72844.0763636364
20,68291.63227272731
21,65064.99454545458
22,56411.272727272764
23,56400.505000000034
24,62288.73590909096
