week,T1,T2,T3,T4,T5,T6,T7,T8
1,0,6000.0,6000.0,6000.0,6000.0,6000.0,4236.299999999999,6000.0
2,0,0,1235.7000000000003,5999.999999999999,4260.3,0,0,5999.999999999999
3,0,0,0,5999.999999999999,6000.0,2214.9,0,6000.0
4,0,0,6000.0,3567.6,2865.0,0,0,1231.2
5,4091.1000000000004,6000.0,6000.0,6000.000000000001,6000.000000000001,0,0,6000.0
6,0,0,6000.0,6000.0,2579.0999999999995,0,0,0
7,0,0,2703.2999999999997,6000.0,5999.999999999999,0,0,0
8,0,0,3055.800000000001,6000.0,3460.5,0,0,0
9,0,0,6000.0,5999.999999999999,0,5507.7,0,0
10,0,0,6000.0,3546.5999999999995,0,6000.000000000001,0,0
11,0,3944.4,6000.0,5999.999999999999,6000.0,5999.999999999999,0,6000.0
12,0,0,6000.000000000002,6000.0,0,6000.0,0,1043.1000000000001
13,0,0,0,6000.000000000002,6000.0,2712.3,0,0
14,0,0,6000.0,6000.000000000001,0,6000.0,0,1516.4999999999998
15,0,0,6000.0,4804.799999999999,0,6000.0,0,0
16,0,0,6000.0,3439.5000000000005,0,6000.0,0,0
17,0,5999.999999999999,6000.0,1035.0,0,5999.999999999999,0,0
18,0,0,6000.0,0,6000.0,1514.3999999999999,0,0
19,0,0,222.00000000000003,6000.0,0,6000.000000000001,0,0
20,0,0,5604.3,2673.9000000000005,5171.400000000001,1996.2000000000003,0,0
21,0,0,4226.1,6000.0,6000.0,0,0,0
22,0,0,3260.7000000000003,3517.2,5836.5,0,0,0
23,0,0,935.1000000000001,6000.0,6000.0,6000.0,0,0
24,0,0,6000.0,4338.9,6000.0,6000.0,0,0
