week,S007,S123,S143,S189,S221,S229,S266,S275,S282,S329,S352,S395,S031,S040,S055,S092,S098,S108,S131,S139,S140,S169,S174,S175,S308,S330,S340,S346,S364,S367,S392,S003,S025,S067,S076,S080,S113,S151,S194,S213,S218,S244,S247,S268,S284,S294,S306,S356,S361,S365
1,27.900000000000002,34.2,611.1,71.10000000000001,5.4,2140.2000000000003,25.2,606.6,373.5,739.8000000000001,449.1,3373.2000000000003,162.0,365.40000000000003,67.5,4.5,1.8,735.3000000000001,626.4,9186.300000000001,16794.9,4.5,3.6,2.7,693.9,1030.5,794.7,99.0,353.7,165.6,4.5,9.9,0,1.8,0,174.6,3.6,720.9,405.0,2.7,119.7,54.0,232.20000000000002,527.4,113.4,68.4,498.6,621.0,1694.7,205.20000000000002
2,139.5,29.7,610.2,57.6,0.9,1314.9,24.3,659.7,232.20000000000002,637.2,482.40000000000003,0,170.1,134.1,1094.4,0.9,1.8,7096.5,629.1,0.9,0,0,0.9,0.9,743.4,854.1,746.1,106.2,83.7,57.6,0.9,34.2,0.9,1.8,3.6,30.6,0.9,587.7,401.40000000000003,1.8,36.0,33.300000000000004,216.9,569.7,95.4,73.8,396.90000000000003,384.3,2042.1000000000001,342.90000000000003
3,67.5,32.4,605.7,66.60000000000001,4.5,1221.3,27.0,738.9,186.3,758.7,537.3000000000001,0,193.5,135.0,67.5,5.4,3.6,955.8000000000001,724.5,8655.300000000001,6.3,4.5,3.6,6.3,914.4,1511.1000000000001,846.9,101.7,108.0,191.70000000000002,5.4,0,0,1.8,2.7,167.4,3.6,694.8000000000001,440.1,1.8,130.5,34.2,243.9,611.1,202.5,88.2,485.1,369.90000000000003,1569.6000000000001,336.6
4,126.0,31.5,607.5,71.10000000000001,0,1181.7,27.0,691.2,145.8,685.8000000000001,530.1,0,180.9,388.8,68.4,0,2.7,684.0,771.3000000000001,0.9,0.9,0,0.9,0.9,964.8000000000001,898.2,962.1,145.8,556.2,57.6,0,1.8,0,2.7,2.7,27.900000000000002,0,671.4,441.90000000000003,2.7,39.6,30.6,249.3,640.8000000000001,262.8,89.10000000000001,389.7,310.5,2124.0,296.1
5,25.2,38.7,689.4,78.3,6.3,1314.9,29.7,846.9,162.9,832.5,629.1,0,198.0,129.6,72.0,8.1,2.7,882.9,912.6,7.2,19163.7,6.3,5.4,4.5,1033.2,1535.4,1053.0,118.8,214.20000000000002,231.3,6.3,3.6,0,0,3.6,180.0,3.6,788.4,490.5,1.8,162.0,0,281.7,655.2,189.9,0,0,260.1,2171.7000000000003,216.0
6,27.0,40.5,699.3000000000001,75.60000000000001,0.9,1423.8,30.6,847.8000000000001,272.7,873.9,623.7,0,212.4,135.9,70.2,0.9,9.0,810.9,803.7,28.8,11.700000000000001,0,0,0.9,1283.4,850.5,1062.9,117.9,105.3,68.4,0,0,0,1.8,0,36.0,0,744.3000000000001,501.3,2.7,44.1,30.6,300.6,627.3000000000001,315.0,96.3,487.8,185.4,1838.7,178.20000000000002
7,24.3,27.0,645.3000000000001,73.8,4.5,1393.2,24.3,662.4,403.2,694.8000000000001,539.1,0,180.0,106.2,67.5,4.5,2.7,719.1,675.0,22.5,10.8,4.5,5.4,4.5,794.7,1205.1000000000001,835.2,105.3,95.4,178.20000000000002,4.5,21.6,0,1.8,2.7,144.9,6.3,669.6,416.7,3.6,120.60000000000001,0,230.4,0,445.5,81.9,420.3,342.0,0,149.4
8,19.8,30.6,621.9,72.9,0,1800.0,27.0,664.2,562.5,661.5,518.4,0,198.0,117.0,62.1,0,1.8,717.3000000000001,674.1,29.7,11.700000000000001,0,0,0.9,977.4,1092.6000000000001,841.5,99.0,96.3,55.800000000000004,0,68.4,0,1.8,1.8,29.7,0,564.3000000000001,437.40000000000003,1.8,38.7,60.300000000000004,244.8,537.3000000000001,385.2,84.60000000000001,430.2,731.7,0,153.0
9,19.8,28.8,792.0,69.3,4.5,1923.3,27.0,812.7,693.0,760.5,572.4,806.4,187.20000000000002,129.6,69.3,3.6,6.3,805.5,706.5,31.5,15.3,4.5,2.7,4.5,803.7,1336.5,887.4,104.4,92.7,182.70000000000002,7.2,348.3,0,2.7,3.6,154.8,6.3,783.9,435.6,2.7,117.0,90.0,244.8,544.5,254.70000000000002,87.3,756.9,774.0,1953.0,160.20000000000002
10,21.6,33.300000000000004,619.2,73.8,2.7,1692.9,27.900000000000002,682.2,774.0,711.9,575.1,2820.6,184.5,117.0,63.0,2.7,2.7,762.3000000000001,693.0,12.6,5.4,2.7,0.9,2.7,962.1,964.8000000000001,808.2,105.3,91.8,64.8,1.8,302.40000000000003,2.7,1.8,2.7,38.7,0,676.8000000000001,429.3,1.8,37.800000000000004,72.9,256.5,536.4,339.3,86.4,715.5,1023.3000000000001,1981.8,153.0
11,18.900000000000002,30.6,584.1,104.4,4.5,1445.4,24.3,647.1,798.3000000000001,639.0,506.7,1827.9,171.9,99.9,75.60000000000001,6.3,2.7,711.0,598.5,18.900000000000002,9.9,6.3,3.6,2.7,1063.8,1323.0,789.3000000000001,89.10000000000001,81.9,136.8,6.3,282.6,6.3,2.7,4.5,134.1,7.2,16875.0,381.6,2.7,97.2,117.0,209.70000000000002,473.40000000000003,284.40000000000003,76.5,695.7,894.6,1426.5,144.0
12,21.6,54.0,755.1,79.2,1.8,1956.6000000000001,28.8,739.8000000000001,842.4,701.1,480.6,5659.2,195.3,106.2,64.8,0.9,3.6,703.8000000000001,669.6,16.2,4.5,3.6,3.6,3.6,705.6,819.9,684.0,106.2,97.2,63.9,2.7,156.6,3.6,3.6,1.8,32.4,2.7,19140.3,435.6,1.8,34.2,87.3,245.70000000000002,550.8000000000001,339.3,83.7,550.8000000000001,891.9,1971.9,153.9
13,23.400000000000002,31.5,676.8000000000001,76.5,6.3,2832.3,29.7,747.9,961.2,746.1,495.90000000000003,3.6,188.1,121.5,57.6,5.4,3.6,809.1,702.0,21.6,10.8,2.7,5.4,6.3,1011.6,1011.6,830.7,102.60000000000001,97.2,216.9,4.5,55.800000000000004,0,1.8,3.6,161.1,6.3,6575.400000000001,500.40000000000003,1.8,117.0,87.3,266.40000000000003,603.0,291.6,0,631.8000000000001,1128.6000000000001,1587.6000000000001,206.1
14,20.7,34.2,685.8000000000001,95.4,0.9,1571.4,30.6,869.4,1007.1,782.1,550.8000000000001,6894.900000000001,191.70000000000002,117.9,76.5,0.9,1.8,775.8000000000001,773.1,17.1,6.3,0,0,0.9,802.8000000000001,1323.9,864.0,114.3,91.8,75.60000000000001,0,148.5,0,2.7,2.7,39.6,0,685.8000000000001,477.90000000000003,2.7,42.300000000000004,106.2,261.90000000000003,568.8000000000001,301.5,86.4,563.4,830.7,1756.8,166.5
15,24.3,70.2,597.6,73.8,8.1,1439.1000000000001,30.6,774.9,944.1,793.8000000000001,603.0,3712.5,186.3,116.10000000000001,68.4,7.2,4.5,855.9,684.9,25.2,13.5,7.2,8.1,8.1,961.2,1251.0,891.9,108.0,96.3,210.6,9.9,242.1,5.4,2.7,2.7,176.4,9.9,784.8000000000001,469.8,1.8,126.0,133.20000000000002,252.9,591.3000000000001,333.0,90.9,773.1,1005.3000000000001,1590.3,184.5
16,24.3,35.1,682.2,75.60000000000001,6.3,1477.8,30.6,744.3000000000001,969.3000000000001,706.5,576.0,1088.1000000000001,195.3,123.3,539.1,7.2,2.7,973.8000000000001,658.8000000000001,9.0,10.8,2.7,3.6,6.3,925.2,1641.6000000000001,873.0,108.9,87.3,315.0,6.3,219.6,7.2,1.8,3.6,33.300000000000004,7.2,1350.9,459.0,2.7,34.2,107.10000000000001,256.5,561.6,483.3,83.7,650.7,1121.4,2385.0,168.3
17,21.6,78.3,659.7,76.5,5.4,1564.2,33.300000000000004,815.4,1052.1000000000001,689.4,555.3000000000001,5632.2,217.8,117.9,63.0,5.4,2.7,854.1,714.6,22.5,9.9,7.2,5.4,8.1,879.3000000000001,1112.4,823.5,99.9,103.5,537.3000000000001,6.3,178.20000000000002,0,1.8,3.6,158.4,5.4,829.8000000000001,477.90000000000003,1.8,108.0,108.9,271.8,580.5,469.8,0,829.8000000000001,920.7,1864.8,162.0
18,24.3,38.7,713.7,65.7,0,1572.3,29.7,678.6,1101.6000000000001,738.9,557.1,1329.3,194.4,136.8,66.60000000000001,1.8,2.7,722.7,645.3000000000001,11.700000000000001,4.5,1.8,1.8,0.9,866.7,1051.2,797.4,100.8,93.60000000000001,80.10000000000001,0.9,108.0,1.8,2.7,1.8,31.5,1.8,707.4,450.90000000000003,2.7,43.2,100.8,268.2,554.4,458.1,88.2,693.9,1209.6000000000001,1621.8,159.3
19,18.900000000000002,30.6,523.8000000000001,58.5,6.3,2142.0,28.8,680.4,1208.7,736.2,524.7,270.0,183.6,113.4,69.3,6.3,1.8,731.7,649.8000000000001,23.400000000000002,9.9,3.6,4.5,6.3,817.2,767.7,802.8000000000001,108.9,100.8,176.4,5.4,48.6,3.6,1.8,3.6,128.70000000000002,5.4,738.0,415.8,1.8,86.4,142.20000000000002,241.20000000000002,562.5,432.90000000000003,90.0,594.0,1609.2,1309.5,147.6
20,20.7,27.900000000000002,657.9,65.7,0.9,1980.9,30.6,798.3000000000001,1522.8,828.0,530.1,832.5,198.9,124.2,62.1,0,3.6,727.2,814.5,10.8,6.3,0.9,0,0.9,1049.4,1187.1000000000001,699.3000000000001,96.3,103.5,69.3,0.9,67.5,0,1.8,2.7,36.9,0,686.7,475.2,1.8,42.300000000000004,151.20000000000002,247.5,563.4,1804.5,94.5,618.3000000000001,1230.3,1409.4,150.3
21,20.7,28.8,2268.9,79.2,3.6,2441.7000000000003,30.6,698.4,1551.6000000000001,684.0,471.6,44.1,188.1,114.3,65.7,5.4,5.4,801.0,615.6,17.1,7.2,4.5,6.3,3.6,1079.1000000000001,1008.9,729.9,118.8,90.0,162.9,3.6,133.20000000000002,0,0,2.7,141.3,5.4,716.4,450.90000000000003,1.8,0,162.0,0,561.6,0,82.8,0,0,0,147.6
22,18.0,36.9,754.2,83.7,0,2288.7000000000003,32.4,626.4,1485.9,808.2,496.8,117.0,196.20000000000002,132.3,60.300000000000004,0,3.6,768.6,560.7,14.4,6.3,0,0,0.9,902.7,690.3000000000001,738.0,124.2,89.10000000000001,72.9,0.9,0,0,1.8,2.7,28.8,0,701.1,0,1.8,0,135.9,0,0,0,85.5,0,0,2534.4,0
23,19.8,102.60000000000001,503.1,73.8,3.6,1925.1000000000001,35.1,747.9,1209.6000000000001,694.8000000000001,505.8,522.9,214.20000000000002,145.8,72.0,7.2,1.8,948.6,566.1,22.5,13.5,5.4,6.3,2.7,742.5,1548.0,796.5,111.60000000000001,105.3,257.40000000000003,4.5,106.2,0,2.7,2.7,0,6.3,910.8000000000001,531.9,3.6,0,0,0,0,0,101.7,0,0,0,0
24,27.0,35.1,819.9,72.0,0.9,1894.5,32.4,749.7,728.1,771.3000000000001,514.8000000000001,539.1,0,0,0,0,0,0,0,0,0,0,0,0,7362.900000000001,8791.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
