wavelength,V1,V2,V3
380,63.4,38.5,3
381,63.64,38.15,2.82
382,63.88,37.8,2.64
383,64.12,37.45,2.46
384,64.36,37.1,2.28
385,64.6,36.75,2.1
386,64.84,36.4,1.92
387,65.08,36.05,1.74
388,65.32,35.7,1.56
389,65.56,35.35,1.38
390,65.8,35,1.2
391,68.7,35.84,0.97
392,71.6,36.68,0.74
393,74.5,37.52,0.51
394,77.4,38.36,0.28
395,80.3,39.2,0.05
396,83.2,40.04,-0.18
397,86.1,40.88,-0.41
398,89,41.72,-0.64
399,91.9,42.56,-0.87
400,94.8,43.4,-1.1
401,95.8,43.69,-1.04
402,96.8,43.98,-0.98
403,97.8,44.27,-0.92
404,98.8,44.56,-0.86
405,99.8,44.85,-0.8
406,100.8,45.14,-0.74
407,101.8,45.43,-0.68
408,102.8,45.72,-0.62
409,103.8,46.01,-0.56
410,104.8,46.3,-0.5
411,104.91,46.06,-0.52
412,105.02,45.82,-0.54
413,105.13,45.58,-0.56
414,105.24,45.34,-0.58
415,105.35,45.1,-0.6
416,105.46,44.86,-0.62
417,105.57,44.62,-0.64
418,105.68,44.38,-0.66
419,105.79,44.14,-0.68
420,105.9,43.9,-0.7
421,104.99,43.22,-0.75
422,104.08,42.54,-0.8
423,103.17,41.86,-0.85
424,102.26,41.18,-0.9
425,101.35,40.5,-0.95
426,100.44,39.82,-1
427,99.53,39.14,-1.05
428,98.62,38.46,-1.1
429,97.71,37.78,-1.15
430,96.8,37.1,-1.2
431,98.51,37.06,-1.34
432,100.22,37.02,-1.48
433,101.93,36.98,-1.62
434,103.64,36.94,-1.76
435,105.35,36.9,-1.9
436,107.06,36.86,-2.04
437,108.77,36.82,-2.18
438,110.48,36.78,-2.32
439,112.19,36.74,-2.46
440,113.9,36.7,-2.6
441,115.07,36.62,-2.63
442,116.24,36.54,-2.66
443,117.41,36.46,-2.69
444,118.58,36.38,-2.72
445,119.75,36.3,-2.75
446,120.92,36.22,-2.78
447,122.09,36.14,-2.81
448,123.26,36.06,-2.84
449,124.43,35.98,-2.87
450,125.6,35.9,-2.9
451,125.59,35.57,-2.89
452,125.58,35.24,-2.88
453,125.57,34.91,-2.87
454,125.56,34.58,-2.86
455,125.55,34.25,-2.85
456,125.54,33.92,-2.84
457,125.53,33.59,-2.83
458,125.52,33.26,-2.82
459,125.51,32.93,-2.81
460,125.5,32.6,-2.8
461,125.08,32.13,-2.78
462,124.66,31.66,-2.76
463,124.24,31.19,-2.74
464,123.82,30.72,-2.72
465,123.4,30.25,-2.7
466,122.98,29.78,-2.68
467,122.56,29.31,-2.66
468,122.14,28.84,-2.64
469,121.72,28.37,-2.62
470,121.3,27.9,-2.6
471,121.3,27.54,-2.6
472,121.3,27.18,-2.6
473,121.3,26.82,-2.6
474,121.3,26.46,-2.6
475,121.3,26.1,-2.6
476,121.3,25.74,-2.6
477,121.3,25.38,-2.6
478,121.3,25.02,-2.6
479,121.3,24.66,-2.6
480,121.3,24.3,-2.6
481,120.52,23.88,-2.52
482,119.74,23.46,-2.44
483,118.96,23.04,-2.36
484,118.18,22.62,-2.28
485,117.4,22.2,-2.2
486,116.62,21.78,-2.12
487,115.84,21.36,-2.04
488,115.06,20.94,-1.96
489,114.28,20.52,-1.88
490,113.5,20.1,-1.8
491,113.46,19.71,-1.77
492,113.42,19.32,-1.74
493,113.38,18.93,-1.71
494,113.34,18.54,-1.68
495,113.3,18.15,-1.65
496,113.26,17.76,-1.62
497,113.22,17.37,-1.59
498,113.18,16.98,-1.56
499,113.14,16.59,-1.53
500,113.1,16.2,-1.5
501,112.87,15.9,-1.48
502,112.64,15.6,-1.46
503,112.41,15.3,-1.44
504,112.18,15,-1.42
505,111.95,14.7,-1.4
506,111.72,14.4,-1.38
507,111.49,14.1,-1.36
508,111.26,13.8,-1.34
509,111.03,13.5,-1.32
510,110.8,13.2,-1.3
511,110.37,12.74,-1.29
512,109.94,12.28,-1.28
513,109.51,11.82,-1.27
514,109.08,11.36,-1.26
515,108.65,10.9,-1.25
516,108.22,10.44,-1.24
517,107.79,9.98,-1.23
518,107.36,9.52,-1.22
519,106.93,9.06,-1.21
520,106.5,8.6,-1.2
521,106.73,8.35,-1.18
522,106.96,8.1,-1.16
523,107.19,7.85,-1.14
524,107.42,7.6,-1.12
525,107.65,7.35,-1.1
526,107.88,7.1,-1.08
527,108.11,6.85,-1.06
528,108.34,6.6,-1.04
529,108.57,6.35,-1.02
530,108.8,6.1,-1
531,108.45,5.91,-0.95
532,108.1,5.72,-0.9
533,107.75,5.53,-0.85
534,107.4,5.34,-0.8
535,107.05,5.15,-0.75
536,106.7,4.96,-0.7
537,106.35,4.77,-0.65
538,106,4.58,-0.6
539,105.65,4.39,-0.55
540,105.3,4.2,-0.5
541,105.21,3.97,-0.48
542,105.12,3.74,-0.46
543,105.03,3.51,-0.44
544,104.94,3.28,-0.42
545,104.85,3.05,-0.4
546,104.76,2.82,-0.38
547,104.67,2.59,-0.36
548,104.58,2.36,-0.34
549,104.49,2.13,-0.32
550,104.4,1.9,-0.3
551,103.96,1.71,-0.27
552,103.52,1.52,-0.24
553,103.08,1.33,-0.21
554,102.64,1.14,-0.18
555,102.2,0.95,-0.15
556,101.76,0.76,-0.12
557,101.32,0.57,-0.09
558,100.88,0.38,-0.06
559,100.44,0.19,-0.03
560,100,0,0
561,99.6,-0.16,0.02
562,99.2,-0.32,0.04
563,98.8,-0.48,0.06
564,98.4,-0.64,0.08
565,98,-0.8,0.1
566,97.6,-0.96,0.12
567,97.2,-1.12,0.14
568,96.8,-1.28,0.16
569,96.4,-1.44,0.18
570,96,-1.6,0.2
571,95.91,-1.79,0.23
572,95.82,-1.98,0.26
573,95.73,-2.17,0.29
574,95.64,-2.36,0.32
575,95.55,-2.55,0.35
576,95.46,-2.74,0.38
577,95.37,-2.93,0.41
578,95.28,-3.12,0.44
579,95.19,-3.31,0.47
580,95.1,-3.5,0.5
581,94.5,-3.5,0.66
582,93.9,-3.5,0.82
583,93.3,-3.5,0.98
584,92.7,-3.5,1.14
585,92.1,-3.5,1.3
586,91.5,-3.5,1.46
587,90.9,-3.5,1.62
588,90.3,-3.5,1.78
589,89.7,-3.5,1.94
590,89.1,-3.5,2.1
591,89.24,-3.73,2.21
592,89.38,-3.96,2.32
593,89.52,-4.19,2.43
594,89.66,-4.42,2.54
595,89.8,-4.65,2.65
596,89.94,-4.88,2.76
597,90.08,-5.11,2.87
598,90.22,-5.34,2.98
599,90.36,-5.57,3.09
600,90.5,-5.8,3.2
601,90.48,-5.94,3.29
602,90.46,-6.08,3.38
603,90.44,-6.22,3.47
604,90.42,-6.36,3.56
605,90.4,-6.5,3.65
606,90.38,-6.64,3.74
607,90.36,-6.78,3.83
608,90.34,-6.92,3.92
609,90.32,-7.06,4.01
610,90.3,-7.2,4.1
611,90.11,-7.34,4.16
612,89.92,-7.48,4.22
613,89.73,-7.62,4.28
614,89.54,-7.76,4.34
615,89.35,-7.9,4.4
616,89.16,-8.04,4.46
617,88.97,-8.18,4.52
618,88.78,-8.32,4.58
619,88.59,-8.46,4.64
620,88.4,-8.6,4.7
621,87.96,-8.69,4.74
622,87.52,-8.78,4.78
623,87.08,-8.87,4.82
624,86.64,-8.96,4.86
625,86.2,-9.05,4.9
626,85.76,-9.14,4.94
627,85.32,-9.23,4.98
628,84.88,-9.32,5.02
629,84.44,-9.41,5.06
630,84,-9.5,5.1
631,84.11,-9.64,5.26
632,84.22,-9.78,5.42
633,84.33,-9.92,5.58
634,84.44,-10.06,5.74
635,84.55,-10.2,5.9
636,84.66,-10.34,6.06
637,84.77,-10.48,6.22
638,84.88,-10.62,6.38
639,84.99,-10.76,6.54
640,85.1,-10.9,6.7
641,84.78,-10.88,6.76
642,84.46,-10.86,6.82
643,84.14,-10.84,6.88
644,83.82,-10.82,6.94
645,83.5,-10.8,7
646,83.18,-10.78,7.06
647,82.86,-10.76,7.12
648,82.54,-10.74,7.18
649,82.22,-10.72,7.24
650,81.9,-10.7,7.3
651,81.97,-10.83,7.43
652,82.04,-10.96,7.56
653,82.11,-11.09,7.69
654,82.18,-11.22,7.82
655,82.25,-11.35,7.95
656,82.32,-11.48,8.08
657,82.39,-11.61,8.21
658,82.46,-11.74,8.34
659,82.53,-11.87,8.47
660,82.6,-12,8.6
661,82.83,-12.2,8.72
662,83.06,-12.4,8.84
663,83.29,-12.6,8.96
664,83.52,-12.8,9.08
665,83.75,-13,9.2
666,83.98,-13.2,9.32
667,84.21,-13.4,9.44
668,84.44,-13.6,9.56
669,84.67,-13.8,9.68
670,84.9,-14,9.8
671,84.54,-13.96,9.84
672,84.18,-13.92,9.88
673,83.82,-13.88,9.92
674,83.46,-13.84,9.96
675,83.1,-13.8,10
676,82.74,-13.76,10.04
677,82.38,-13.72,10.08
678,82.02,-13.68,10.12
679,81.66,-13.64,10.16
680,81.3,-13.6,10.2
681,80.36,-13.44,10.01
682,79.42,-13.28,9.82
683,78.48,-13.12,9.63
684,77.54,-12.96,9.44
685,76.6,-12.8,9.25
686,75.66,-12.64,9.06
687,74.72,-12.48,8.87
688,73.78,-12.32,8.68
689,72.84,-12.16,8.49
690,71.9,-12,8.3
691,72.14,-12.13,8.43
692,72.38,-12.26,8.56
693,72.62,-12.39,8.69
694,72.86,-12.52,8.82
695,73.1,-12.65,8.95
696,73.34,-12.78,9.08
697,73.58,-12.91,9.21
698,73.82,-13.04,9.34
