wavelength,ipRGC,bright-vision-curve,dark-vision-curve
380, 0.000918, 0.000040, 0.000590
381, 0.001044, 0.000043, 0.000656
382, 0.001177, 0.000046, 0.000735
383, 0.001320, 0.000049, 0.000830
384, 0.001482, 0.000054, 0.000944
385, 0.001667, 0.000060, 0.001080
386, 0.001881, 0.000069, 0.001242
387, 0.002128, 0.000080, 0.001433
388, 0.002410, 0.000092, 0.001655
389, 0.002732, 0.000106, 0.001913
390, 0.003094, 0.000120, 0.002210
391, 0.003504, 0.000135, 0.002550
392, 0.003973, 0.000151, 0.002941
393, 0.004516, 0.000169, 0.003395
394, 0.005147, 0.000191, 0.003921
395, 0.005880, 0.000217, 0.004530
396, 0.006730, 0.000249, 0.005232
397, 0.007703, 0.000284, 0.006044
398, 0.008806, 0.000323, 0.006980
399, 0.010045, 0.000362, 0.008056
400, 0.011428, 0.000400, 0.009290
401, 0.012976, 0.000437, 0.010698
402, 0.014782, 0.000475, 0.012301
403, 0.016951, 0.000520, 0.014124
404, 0.019592, 0.000573, 0.016189
405, 0.022811, 0.000640, 0.018520
406, 0.026675, 0.000723, 0.021138
407, 0.031082, 0.000823, 0.024063
408, 0.035893, 0.000938, 0.027310
409, 0.040964, 0.001067, 0.030896
410, 0.046155, 0.001210, 0.034840
411, 0.051408, 0.001366, 0.039157
412, 0.057003, 0.001537, 0.043859
413, 0.063303, 0.001727, 0.048959
414, 0.070673, 0.001941, 0.054469
415, 0.079477, 0.002180, 0.060400
416, 0.089913, 0.002450, 0.066763
417, 0.101528, 0.002758, 0.073562
418, 0.113700, 0.003113, 0.080799
419, 0.125810, 0.003524, 0.088478
420, 0.137237, 0.004000, 0.096600
421, 0.147560, 0.004546, 0.105170
422, 0.157145, 0.005157, 0.114160
423, 0.166553, 0.005826, 0.123580
424, 0.176349, 0.006543, 0.133390
425, 0.187096, 0.007300, 0.143600
426, 0.199190, 0.008091, 0.154180
427, 0.212355, 0.008916, 0.165110
428, 0.226151, 0.009775, 0.176370
429, 0.240135, 0.010669, 0.187940
