波长,光强
380(mW/m2/nm),0.021608529
381(mW/m2/nm),0.018694264
382(mW/m2/nm),0.017377406
383(mW/m2/nm),0.030297232
384(mW/m2/nm),0.029682046
385(mW/m2/nm),0.036093368
386(mW/m2/nm),0.019471422
387(mW/m2/nm),0.019676484
388(mW/m2/nm),0.030977207
389(mW/m2/nm),0.022569051
390(mW/m2/nm),0.03220758
391(mW/m2/nm),0.026130897
392(mW/m2/nm),0.017949501
393(mW/m2/nm),0.015574937
394(mW/m2/nm),0.021856682
395(mW/m2/nm),0.024339125
396(mW/m2/nm),0.033405558
397(mW/m2/nm),0.03796032
398(mW/m2/nm),0.04034558
399(mW/m2/nm),0.053999168
400(mW/m2/nm),0.062936024
401(mW/m2/nm),0.08373005
402(mW/m2/nm),0.113050808
403(mW/m2/nm),0.13985997
404(mW/m2/nm),0.197109142
405(mW/m2/nm),0.249658697
406(mW/m2/nm),0.327715769
407(mW/m2/nm),0.429331695
408(mW/m2/nm),0.540649101
409(mW/m2/nm),0.703401456
410(mW/m2/nm),0.883055934
411(mW/m2/nm),1.078100276
412(mW/m2/nm),1.348361506
413(mW/m2/nm),1.611840104
414(mW/m2/nm),1.953801177
415(mW/m2/nm),2.307667527
416(mW/m2/nm),2.667705968
417(mW/m2/nm),3.203668957
418(mW/m2/nm),3.759319255
419(mW/m2/nm),4.398523324
420(mW/m2/nm),5.081767332
421(mW/m2/nm),5.770522411
422(mW/m2/nm),6.567811115
423(mW/m2/nm),7.377835069
424(mW/m2/nm),8.151807454
425(mW/m2/nm),8.824999376
426(mW/m2/nm),9.496309196
427(mW/m2/nm),9.915708658
428(mW/m2/nm),10.25328635
429(mW/m2/nm),10.60439818
430(mW/m2/nm),10.59647543
431(mW/m2/nm),10.50510341
432(mW/m2/nm),10.2508016
433(mW/m2/nm),9.84749075
434(mW/m2/nm),9.433736274
435(mW/m2/nm),8.908624288
436(mW/m2/nm),8.425792671
437(mW/m2/nm),7.974165688
438(mW/m2/nm),7.612117145
439(mW/m2/nm),7.291147688
440(mW/m2/nm),7.123279829
441(mW/m2/nm),7.006257884
442(mW/m2/nm),7.025406784
443(mW/m2/nm),7.149890959
444(mW/m2/nm),7.355293335
445(mW/m2/nm),7.677737058
446(mW/m2/nm),8.131301899
447(mW/m2/nm),8.704863429
448(mW/m2/nm),9.421167533
449(mW/m2/nm),10.21262372
450(mW/m2/nm),11.09660154
451(mW/m2/nm),11.96118407
452(mW/m2/nm),12.75440893
453(mW/m2/nm),13.45116343
454(mW/m2/nm),13.96375243
455(mW/m2/nm),14.20217153
456(mW/m2/nm),14.1852743
457(mW/m2/nm),13.8368643
458(mW/m2/nm),13.2837718
459(mW/m2/nm),12.51169217
460(mW/m2/nm),11.65975216
461(mW/m2/nm),10.77712004
462(mW/m2/nm),9.969739326
463(mW/m2/nm),9.243374226
464(mW/m2/nm),8.613017298
465(mW/m2/nm),8.08587209
466(mW/m2/nm),7.675843026
467(mW/m2/nm),7.368134925
468(mW/m2/nm),7.085566001
469(mW/m2/nm),6.860217368
470(mW/m2/nm),6.616172907
471(mW/m2/nm),6.364352801
472(mW/m2/nm),6.09283932
473(mW/m2/nm),5.802795446
474(mW/m2/nm),5.51008184
475(mW/m2/nm),5.21613722
476(mW/m2/nm),4.946964678
477(mW/m2/nm),4.70803478
478(mW/m2/nm),4.482311948
479(mW/m2/nm),4.29295244
480(mW/m2/nm),4.152951951
481(mW/m2/nm),4.060289127
482(mW/m2/nm),4.020927916
483(mW/m2/nm),4.0032086
484(mW/m2/nm),4.019216675
485(mW/m2/nm),4.0610385
486(mW/m2/nm),4.137333932
487(mW/m2/nm),4.220121949
488(mW/m2/nm),4.32326157
489(mW/m2/nm),4.439588389
490(mW/m2/nm),4.602361046
491(mW/m2/nm),4.753973686
492(mW/m2/nm),4.937876028
493(mW/m2/nm),5.151954338
494(mW/m2/nm),5.377030853
495(mW/m2/nm),5.634862641
496(mW/m2/nm),5.890852923
497(mW/m2/nm),6.201075866
498(mW/m2/nm),6.511555757
499(mW/m2/nm),6.864082982
500(mW/m2/nm),7.235156975
501(mW/m2/nm),7.62978736
502(mW/m2/nm),8.096616934
503(mW/m2/nm),8.584850946
504(mW/m2/nm),9.069123363
505(mW/m2/nm),9.563319438
506(mW/m2/nm),10.05732713
507(mW/m2/nm),10.62255346
508(mW/m2/nm),11.16172848
509(mW/m2/nm),11.71150022
510(mW/m2/nm),12.26459489
511(mW/m2/nm),12.76507563
512(mW/m2/nm),13.32048284
513(mW/m2/nm),13.8921908
514(mW/m2/nm),14.37779509
515(mW/m2/nm),14.87652806
516(mW/m2/nm),15.29401718
517(mW/m2/nm),15.73393281
518(mW/m2/nm),16.0881197
519(mW/m2/nm),16.37738476
520(mW/m2/nm),16.66298615
521(mW/m2/nm),16.81982334
522(mW/m2/nm),16.90753943
523(mW/m2/nm),16.98996529
524(mW/m2/nm),16.95429537
525(mW/m2/nm),16.89578056
526(mW/m2/nm),16.87736403
527(mW/m2/nm),16.74743968
528(mW/m2/nm),16.58747421
529(mW/m2/nm),16.42084468
530(mW/m2/nm),16.16573974
531(mW/m2/nm),15.97999238
532(mW/m2/nm),15.73965741
533(mW/m2/nm),15.49614712
534(mW/m2/nm),15.18826301
535(mW/m2/nm),14.94237956
536(mW/m2/nm),14.68245325
537(mW/m2/nm),14.40732702
538(mW/m2/nm),14.17780463
539(mW/m2/nm),13.94165198
540(mW/m2/nm),13.734232
541(mW/m2/nm),13.52245406
542(mW/m2/nm),13.32513337
543(mW/m2/nm),13.12101742
544(mW/m2/nm),12.94211116
545(mW/m2/nm),12.77999817
546(mW/m2/nm),12.62662295
547(mW/m2/nm),12.4821933
548(mW/m2/nm),12.35177497
549(mW/m2/nm),12.21991073
550(mW/m2/nm),12.08647619
551(mW/m2/nm),11.98452482
552(mW/m2/nm),11.90825142
553(mW/m2/nm),11.81823837
554(mW/m2/nm),11.74523699
555(mW/m2/nm),11.66722429
556(mW/m2/nm),11.60004609
557(mW/m2/nm),11.53319817
558(mW/m2/nm),11.50226392
559(mW/m2/nm),11.42899377
560(mW/m2/nm),11.41685611
561(mW/m2/nm),11.41582369
562(mW/m2/nm),11.43024218
563(mW/m2/nm),11.42735896
564(mW/m2/nm),11.46659906
565(mW/m2/nm),11.48453868
566(mW/m2/nm),11.4960408
567(mW/m2/nm),11.52142283
568(mW/m2/nm),11.56664365
569(mW/m2/nm),11.58980425
570(mW/m2/nm),11.61547065
571(mW/m2/nm),11.67084621
572(mW/m2/nm),11.72180551
573(mW/m2/nm),11.76755648
574(mW/m2/nm),11.82873218
575(mW/m2/nm),11.88561655
576(mW/m2/nm),12.02230227
577(mW/m2/nm),12.04914668
578(mW/m2/nm),12.12537132
579(mW/m2/nm),12.24252349
580(mW/m2/nm),12.30913683
581(mW/m2/nm),12.37825032
582(mW/m2/nm),12.50464162
583(mW/m2/nm),12.59773767
584(mW/m2/nm),12.72233224
585(mW/m2/nm),12.82786734
586(mW/m2/nm),12.87388886
587(mW/m2/nm),12.97625691
588(mW/m2/nm),13.10585869
589(mW/m2/nm),13.21762636
590(mW/m2/nm),13.31173478
591(mW/m2/nm),13.43644095
592(mW/m2/nm),13.54634277
593(mW/m2/nm),13.69224625
594(mW/m2/nm),13.81960726
595(mW/m2/nm),13.95574166
596(mW/m2/nm),14.10882655
597(mW/m2/nm),14.30497622
598(mW/m2/nm),14.44630907
599(mW/m2/nm),14.61495672
600(mW/m2/nm),14.87107246
601(mW/m2/nm),15.08449012
602(mW/m2/nm),15.30068156
603(mW/m2/nm),15.58451597
604(mW/m2/nm),15.86187994
605(mW/m2/nm),16.20487429
606(mW/m2/nm),16.50361951
607(mW/m2/nm),16.92018559
608(mW/m2/nm),17.26286027
609(mW/m2/nm),17.68946088
610(mW/m2/nm),18.12876108
611(mW/m2/nm),18.64473908
612(mW/m2/nm),19.14451373
613(mW/m2/nm),19.70514418
614(mW/m2/nm),20.30129329
615(mW/m2/nm),20.85780228
616(mW/m2/nm),21.43525988
