,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018,W019,W020,W021,W022,W023,W024
S143,679,678,673,675,766,777,717,691,880,688,649,839,752,762,664,758,733,793,582,731,2521,838,559,911
S229,2378,1461,1357,1313,1461,1582,1548,2000,2137,1881,1606,2174,3147,1746,1599,1642,1738,1747,2380,2201,2713,2543,2139,2105
S275,674,733,821,768,941,942,736,738,903,758,719,822,831,966,861,827,906,754,756,887,776,696,831,833
S282,415,258,207,162,181,303,448,625,770,860,887,936,1068,1119,1049,1077,1169,1224,1343,1692,1724,1651,1344,809
S329,822,708,843,762,925,971,772,735,845,791,710,779,829,869,882,785,766,821,818,920,760,898,772,857
S352,499,536,597,589,699,693,599,576,636,639,563,534,551,612,670,640,617,619,583,589,524,552,562,572
S395,3748,1024.9054054054054,1024.9054054054054,1024.9054054054054,1024.9054054054054,1024.9054054054054,1024.9054054054054,1024.9054054054054,896,3134,2031,6288,4,7661,4125,1209,6258,1477,300,925,49,130,581,599
S108,817,7885,1062,760,981,901,799,797,895,847,790,782,899,862,951,1082,949,803,813,808,890,854,1054,913
S131,696,699,805,857,1014,893,750,749,785,770,665,744,780,859,761,732,794,717,722,905,684,623,629,713
S139,10207,1,9617,1,8,32,25,33,35,14,21,18,24,19,28,10,25,13,26,12,19,16,25,16
S140,18661,1379.2100456621004,7,1,21293,13,12,13,17,6,11,5,12,7,15,12,11,5,11,7,8,7,15,5
S308,771,826,1016,1072,1148,1426,883,1086,893,1069,1182,784,1124,892,1068,1028,977,963,908,1166,1199,1003,825,8181
S330,1145,949,1679,998,1706,945,1339,1214,1485,1072,1470,911,1124,1471,1390,1824,1236,1168,853,1319,1121,767,1720,9768
S340,883,829,941,1069,1170,1181,928,935,986,898,877,760,923,960,991,970,915,886,892,777,811,820,885,961
S151,801,653,772,746,876,827,744,627,871,752,18750,21267,7306,762,872,1501,922,786,820,763,796,779,1012,876
S356,690,427,411,345,289,206,380,813,860,1137,994,991,1254,923,1117,1246,1023,1344,1788,1367,1487,1076,1259,1596
S361,1883,2269,1744,2360,2413,2043,1841,1858,2170,2202,1585,2191,1764,1952,1767,2650,2072,1802,1455,1566,1496,2816,2757,1699
