week,A类,B类,C类
1,8457.300000000001,31096.800000000003,682.2
2,4188.599999999999,11721.6,1585.8000000000002
3,4246.200000000001,14440.500000000002,1528.2000000000003
4,4097.700000000001,5684.4000000000015,3881.7
5,4653.900000000001,25585.2,3852.0000000000005
6,4915.799999999999,5572.8,4090.5
7,4491.900000000001,5021.099999999999,5190.299999999999
8,4978.799999999999,4975.200000000001,2562.3
9,6509.699999999999,5381.0999999999985,5616.9
10,8035.200000000001,4848.300000000001,2663.1
11,6631.200000000001,5197.500000000001,22115.700000000004
12,11320.2,4255.2,3467.7000000000003
13,6631.2,5209.2,2871.9000000000005
14,12543.300000000001,5234.4000000000015,1738.8000000000002
15,9072.0,5514.3,2218.5
16,6416.1,6489.900000000001,2533.5
17,11183.4,5590.8,2260.8
18,6849.9,4781.700000000001,1882.8
19,6228.9,4582.799999999999,1410.3
20,7296.3,5155.200000000001,2994.3
21,8323.2,5027.400000000001,2875.4999999999995
22,6748.200000000001,4361.4,1504.8
23,6344.1,5571.900000000001,7019.1
24,6184.800000000001,16154.100000000002,0
