supplier,week,transporter,quantity,loss_rate
S007,1,T2,27.9,0.7092
S007,2,T8,139.5,0.0
S007,3,T8,67.5,0.0
S007,4,T8,126.0,0.0
S007,5,T4,25.2,0.0
S007,6,T3,27.0,0.0
S007,7,T4,24.3,0.0
S007,8,T5,19.8,0.0
S007,9,T4,19.8,0.0
S007,10,T3,21.6,0.0
S007,11,T8,18.9,0.5085
S007,12,T3,21.6,0.0
S007,13,T5,23.4,0.0
S007,14,T4,20.7,0.0
S007,15,T4,24.3,0.0598
S007,16,T4,24.3,0.2242
S007,17,T6,21.6,0.0338
S007,18,T5,24.3,0.0
S007,19,T4,18.9,0.0
S007,20,T4,20.7,0.0
S007,21,T3,20.7,0.0647
S007,22,T3,18.0,0.0
S007,23,T4,19.8,0.0
S007,24,T6,27.0,0.0
S123,1,T2,34.2,0.7092
S123,2,T4,29.7,0.0
S123,3,T8,32.4,0.0
S123,4,T4,31.5,0.0
S123,5,T5,38.7,0.0
S123,6,T5,40.5,0.0
S123,7,T4,27.0,0.0
S123,8,T5,30.6,0.0
S123,9,T6,28.8,0.0254
S123,10,T3,33.3,0.0
S123,11,T6,30.6,0.0169
S123,12,T6,54.0,0.018
S123,13,T4,31.5,0.0
S123,14,T6,34.2,0.0042
S123,15,T6,70.2,0.007400000000000001
S123,16,T3,35.1,0.0
S123,17,T6,78.3,0.0338
S123,18,T3,38.7,0.0
S123,19,T4,30.6,0.0
S123,20,T5,27.9,0.0
S123,21,T4,28.8,0.0
S123,22,T5,36.9,0.0
S123,23,T4,102.6,0.0
S123,24,T3,35.1,0.0
S143,1,T6,611.1,0.0106
S143,2,T5,610.2,0.0
S143,3,T4,605.7,0.0
S143,4,T5,607.5,0.0
S143,5,T5,689.4,0.0
S143,6,T3,699.3,0.0
S143,7,T5,645.3,0.0
S143,8,T4,621.9,0.0
S143,9,T3,792.0,0.0
S143,10,T6,619.2,0.0254
S143,11,T3,496.2,0.0647
S143,11,T8,87.9,0.5085
S143,12,T6,755.1,0.018
S143,13,T6,676.8,0.014800000000000002
S143,14,T8,685.8,0.5085
S143,15,T3,597.6,0.0324
S143,16,T3,682.2,0.0
S143,17,T6,659.7,0.0338
S143,18,T3,670.8,0.0
S143,18,T5,42.9,0.0
S143,19,T4,523.8,0.0
S143,20,T5,657.9,0.0
S143,21,T5,2268.9,0.0
S143,22,T4,754.2,0.0
S143,23,T4,503.1,0.0
S143,24,T4,331.8,0.0
S143,24,T6,488.1,0.0
S189,1,T7,71.1,0.9783
S189,2,T5,57.6,0.0
S189,3,T6,66.6,0.0454
S189,4,T3,71.1,0.0
S189,5,T3,78.3,0.1295
S189,6,T4,75.6,0.0
S189,7,T4,73.8,0.0
S189,8,T3,72.9,0.0
S189,9,T3,69.3,0.0
S189,10,T6,73.8,0.0254
S189,11,T8,104.4,0.5085
S189,12,T6,79.2,0.018
S189,13,T4,76.5,0.0
S189,14,T4,95.4,0.0
S189,15,T6,73.8,0.007400000000000001
S189,16,T3,75.6,0.0
S189,17,T6,76.5,0.0338
S189,18,T5,65.7,0.0
S189,19,T4,58.5,0.0
S189,20,T5,65.7,0.0
S189,21,T5,79.2,0.0
S189,22,T5,83.7,0.0
S189,23,T4,73.8,0.0
S189,24,T6,72.0,0.0
S221,1,T2,5.4,0.7092
S221,2,T8,0.9,0.0
S221,3,T6,4.5,0.0454
S221,5,T5,6.3,0.0
S221,6,T3,0.9,0.0
S221,7,T4,4.5,0.0
S221,9,T6,4.5,0.0254
S221,10,T6,2.7,0.0254
S221,11,T2,4.5,0.8865
S221,12,T3,1.8,0.0
S221,13,T4,6.3,0.0
S221,14,T6,0.9,0.0042
S221,15,T3,8.1,0.0324
S221,16,T4,6.3,0.2242
S221,17,T2,5.4,0.1773
S221,19,T3,6.3,0.0324
S221,20,T3,0.9,0.0
S221,21,T4,3.6,0.0
S221,23,T4,3.6,0.0
S221,24,T6,0.9,0.0
S229,1,T4,2140.2,0.0
S229,2,T4,1314.9,0.0
S229,3,T5,1221.3,0.0
S229,4,T4,1181.7,0.0
S229,5,T4,1314.9,0.0
S229,6,T4,1423.8,0.0
S229,7,T5,1393.2,0.0
S229,8,T4,1800.0,0.0
S229,9,T4,1923.3,0.0
S229,10,T6,1692.9,0.0254
S229,11,T4,198.3,0.2755
S229,11,T6,1247.1,0.0169
S229,12,T3,1956.6,0.0
S229,13,T5,2832.3,0.0
S229,14,T4,1571.4,0.0
S229,15,T4,1439.1,0.0598
S229,16,T3,1477.8,0.0
S229,17,T2,1564.2,0.1773
S229,18,T5,1572.3,0.0
S229,19,T4,2142.0,0.0
S229,20,T4,1980.9,0.0
S229,21,T3,2441.7,0.0647
S229,22,T5,2288.7,0.0
S229,23,T6,1925.1,0.0
S229,24,T4,1894.5,0.0
S266,1,T6,25.2,0.0106
S266,2,T5,24.3,0.0
S266,3,T8,27.0,0.0
S266,4,T8,27.0,0.0
S266,5,T5,29.7,0.0
S266,6,T4,30.6,0.0
S266,7,T4,24.3,0.0
S266,8,T3,27.0,0.0
S266,9,T4,27.0,0.0
S266,10,T3,27.9,0.0
S266,11,T4,24.3,0.2755
S266,12,T3,28.8,0.0
S266,13,T4,29.7,0.0
S266,14,T4,30.6,0.0
S266,15,T4,30.6,0.0598
S266,16,T3,30.6,0.0
S266,17,T6,33.3,0.0338
S266,18,T5,29.7,0.0
S266,19,T4,28.8,0.0
S266,20,T4,30.6,0.0
S266,21,T5,30.6,0.0
S266,22,T5,32.4,0.0
S266,23,T3,35.1,0.1295
S266,24,T6,32.4,0.0
S275,1,T7,606.6,0.9783
S275,2,T3,659.7,0.0
S275,3,T6,738.9,0.0454
S275,4,T4,691.2,0.0
S275,5,T1,846.9,1.1194
S275,6,T4,847.8,0.0
S275,7,T3,662.4,0.0324
S275,8,T5,664.2,0.0
S275,9,T3,230.1,0.0
S275,9,T4,582.6,0.0
S275,10,T3,682.2,0.0
S275,11,T8,647.1,0.5085
S275,12,T3,739.8,0.0
S275,13,T4,290.1,0.0
S275,13,T5,457.8,0.0
S275,14,T4,869.4,0.0
S275,15,T6,774.9,0.007400000000000001
S275,16,T4,744.3,0.2242
S275,17,T3,815.4,0.0971
S275,18,T5,678.6,0.0
S275,19,T6,680.4,0.007400000000000001
S275,20,T3,798.3,0.0
S275,21,T4,698.4,0.0
S275,22,T5,626.4,0.0
S275,23,T5,747.9,0.0
S275,24,T4,749.7,0.0
S282,1,T2,373.5,0.7092
S282,2,T3,232.2,0.0
S282,3,T8,186.3,0.0
S282,4,T4,145.8,0.0
S282,5,T1,162.9,1.1194
S282,6,T3,272.7,0.0
S282,7,T4,403.2,0.0
S282,8,T5,562.5,0.0
S282,9,T6,693.0,0.0254
S282,10,T3,60.0,0.0
S282,10,T4,714.0,0.24979999999999997
S282,11,T8,798.3,0.5085
S282,12,T3,709.5,0.0
S282,12,T4,132.9,0.0705
S282,13,T4,961.2,0.0
S282,14,T6,972.9,0.0042
S282,14,T8,34.2,0.5085
S282,15,T3,944.1,0.0324
S282,16,T6,969.3,0.0169
S282,17,T6,1052.1,0.0338
S282,18,T3,1101.6,0.0
S282,19,T6,1208.7,0.007400000000000001
S282,20,T5,1522.8,0.0
S282,21,T4,856.2,0.0
S282,21,T5,695.4,0.0
S282,22,T3,1485.9,0.0
S282,23,T6,1209.6,0.0
S282,24,T6,728.1,0.0
S329,1,T2,739.8,0.7092
S329,2,T5,637.2,0.0
S329,3,T8,758.7,0.0
S329,4,T3,685.8,0.0
S329,5,T4,832.5,0.0
S329,6,T3,563.1,0.0
S329,6,T4,310.8,0.0
S329,7,T3,694.8,0.0324
S329,8,T4,661.5,0.0
S329,9,T4,760.5,0.0
S329,10,T4,711.9,0.24979999999999997
S329,11,T8,639.0,0.5085
S329,12,T3,701.1,0.0
S329,13,T4,746.1,0.0
S329,14,T6,782.1,0.0042
S329,15,T4,793.8,0.0598
S329,16,T4,386.4,0.2242
S329,16,T6,320.1,0.0169
S329,17,T6,689.4,0.0338
S329,18,T6,738.9,0.0042
S329,19,T4,736.2,0.0
S329,20,T3,828.0,0.0
S329,21,T5,684.0,0.0
S329,22,T5,808.2,0.0
S329,23,T3,501.3,0.1295
S329,23,T6,193.5,0.0
S329,24,T6,771.3,0.0
S352,1,T6,449.1,0.0106
S352,2,T5,482.4,0.0
S352,3,T8,537.3,0.0
S352,4,T4,530.1,0.0
S352,5,T4,629.1,0.0
S352,6,T4,623.7,0.0
S352,7,T5,539.1,0.0
S352,8,T4,518.4,0.0
S352,9,T3,572.4,0.0
S352,10,T4,575.1,0.24979999999999997
S352,11,T8,506.7,0.5085
S352,12,T8,480.6,0.678
S352,13,T4,495.9,0.0
S352,14,T4,550.8,0.0
S352,15,T6,603.0,0.007400000000000001
S352,16,T3,576.0,0.0
S352,17,T6,555.3,0.0338
S352,18,T5,557.1,0.0
S352,19,T6,524.7,0.007400000000000001
S352,20,T4,530.1,0.0
S352,21,T4,471.6,0.0
S352,22,T4,496.8,0.0
S352,23,T5,505.8,0.0
S352,24,T6,514.8,0.0
S395,1,T7,3373.2,0.9783
S395,9,T6,806.4,0.0254
S395,10,T3,2820.6,0.0
S395,11,T6,1827.9,0.0169
S395,12,T4,5363.1,0.0705
S395,12,T8,296.1,0.678
S395,13,T4,3.6,0.0
S395,14,T3,4526.7,0.0
S395,14,T6,2368.2,0.0042
S395,15,T3,2573.4,0.0324
S395,15,T6,1139.1,0.007400000000000001
S395,16,T6,1088.1,0.0169
S395,17,T2,2895.6,0.1773
S395,17,T3,1707.9,0.0971
S395,17,T4,1028.7,0.2157
S395,18,T3,1329.3,0.0
S395,19,T3,114.6,0.0324
S395,19,T6,155.4,0.007400000000000001
S395,20,T6,832.5,0.0
S395,21,T4,44.1,0.0
S395,22,T3,117.0,0.0
S395,23,T5,522.9,0.0
S395,24,T6,539.1,0.0
S031,1,T7,162.0,0.9783
S031,2,T3,170.1,0.0
S031,3,T5,193.5,0.0
S031,4,T3,180.9,0.0
S031,5,T3,198.0,0.1295
S031,6,T5,212.4,0.0
S031,7,T4,180.0,0.0
S031,8,T3,198.0,0.0
S031,9,T4,187.2,0.0
S031,10,T3,184.5,0.0
S031,11,T8,171.9,0.5085
S031,12,T6,195.3,0.018
S031,13,T4,188.1,0.0
S031,14,T4,191.7,0.0
S031,15,T4,186.3,0.0598
S031,16,T3,195.3,0.0
S031,17,T3,217.8,0.0971
S031,18,T3,194.4,0.0
S031,19,T4,183.6,0.0
S031,20,T6,198.9,0.0
S031,21,T4,188.1,0.0
S031,22,T4,196.2,0.0
S031,23,T4,214.2,0.0
S040,1,T8,365.4,0.339
S040,2,T5,134.1,0.0
S040,3,T4,135.0,0.0
S040,4,T5,388.8,0.0
S040,5,T4,129.6,0.0
S040,6,T3,135.9,0.0
S040,7,T5,106.2,0.0
S040,8,T3,117.0,0.0
S040,9,T3,129.6,0.0
S040,10,T3,117.0,0.0
S040,11,T4,99.9,0.2755
S040,12,T6,106.2,0.018
S040,13,T4,121.5,0.0
S040,14,T4,117.9,0.0
S040,15,T6,116.1,0.007400000000000001
S040,16,T3,123.3,0.0
