week,inventory
0,66000.0
1,100409.90136363637
2,98807.63136363638
3,101512.99590909091
4,91246.27863636364
5,111198.81909090909
6,101839.24772727274
7,87792.91545454547
8,75445.12363636366
9,70214.82681818184
10,66601.75272727275
11,82252.13772727276
12,107663.10000000003
13,109869.33272727276
14,113356.11363636368
15,112584.63863636367
16,110504.06181818186
17,113563.07272727275
18,107706.86772727274
19,100618.20136363636
20,97513.25727272726
21,88847.16954545454
22,78098.24772727273
23,66001.18
24,67089.41090909092
