week,A类,B类,C类
1,8457.300000000001,31096.800000000003,5453.1
2,4188.599999999999,11721.6,5254.200000000001
3,4246.200000000001,14440.500000000002,5383.8
4,4097.700000000001,5684.4000000000015,5583.6
5,4653.900000000001,25585.2,5408.1
6,4915.799999999999,5572.8,5390.1
7,4491.900000000001,5021.099999999999,3057.3
8,4978.799999999999,4975.200000000001,3771.0
9,6509.699999999999,5381.0999999999985,6720.3
10,8035.200000000001,4848.300000000001,6659.1
11,6631.200000000001,5197.500000000001,22115.700000000004
12,11320.2,4255.2,24687.9
13,6631.2,5209.2,12225.600000000002
14,12543.300000000001,5234.4000000000015,6044.400000000001
15,9072.0,5514.3,6776.1
16,6416.1,6489.900000000001,7937.099999999999
17,11183.4,5590.8,6973.200000000001
18,6849.9,4781.700000000001,6506.1
19,6228.9,4582.799999999999,6562.800000000001
20,7296.3,5155.200000000001,7584.3
21,8323.2,5027.400000000001,2405.7000000000003
22,6748.200000000001,4361.4,3492.0
23,6344.1,5571.900000000001,1665.8999999999999
24,6184.800000000001,16154.100000000002,0
