week,T1,T2,T3,T4,T5,T6,T7,T8
1,3007.2,6000.0,5999.999999999999,6000.0,6000.0,6000.0,6000.0,6000.0
2,0,0,6000.0,4923.6,6000.000000000001,0,0,4240.799999999999
3,0,0,70.5,6000.0,6000.000000000001,6000.0,0,6000.000000000001
4,0,0,3010.5,6000.0,2583.9000000000005,0,0,3771.3
5,5647.2,6000.0,6000.000000000001,6000.0,5999.999999999999,0,0,6000.000000000001
6,0,0,5860.800000000001,6000.0,4017.9,0,0,0
7,0,0,570.3,6000.0,5999.999999999999,0,0,0
8,0,0,4331.7,4837.5,4555.8,0,0,0
9,0,0,6000.0,5999.999999999999,0,5999.999999999999,0,611.1
10,0,0,6000.000000000001,5999.999999999999,0,6000.0,0,1542.6
11,0,3944.4000000000005,6000.0,5999.999999999999,6000.0,6000.0,0,6000.0
12,6000.000000000003,3814.2,6000.0,6000.0,449.1,5999.999999999998,6000.0,6000.0
13,0,0,6000.0,6000.000000000001,6000.000000000001,6000.0,0,66.0
14,0,0,6000.000000000001,5999.999999999999,0,6000.000000000001,0,5822.1
15,0,0,6000.0,5999.999999999999,0,5999.999999999998,0,3362.4
16,0,0,6000.0,5999.999999999999,0,6000.000000000001,0,2843.1
17,0,6000.000000000001,6000.000000000001,5747.4,0,5999.999999999999,0,0
18,0,0,6000.0,137.7,5999.999999999999,6000.000000000002,0,0
19,0,0,5374.5,6000.000000000001,0,6000.0,0,0
20,0,0,5555.700000000001,5417.099999999999,4780.799999999999,4282.2,0,0
21,0,0,3756.3,6000.0,5999.999999999999,0,0,0
22,0,0,5999.999999999999,5399.099999999999,3202.5,0,0,0
23,0,0,0,3845.7,3736.1999999999994,6000.0,0,0
24,0,0,6000.0,4338.9,6000.0,6000.0,0,0
